"","x"
"1",3.16188378350656e-06
"2",6.32449613739861e-06
"3",9.48787014646324e-06
"4",1.26520167167948e-05
"5",1.58168757059923e-05
"6",1.89824993416334e-05
"7",2.53160349558435e-05
"8",3.48220514981468e-05
"9",4.75073845092388e-05
"10",5.38545823575092e-05
"11",6.65578864318192e-05
"12",7.60931833883425e-05
"13",8.56351883397329e-05
"14",0.000104739372844783
"15",0.000107926040192099
"16",0.000127062126609588
"17",0.000146225812484006
"18",0.000178226381592138
"19",0.000197463353087255
"20",0.000229586324262107
"21",0.000242456892197862
"22",0.000281143121009949
"23",0.000294063434952018
"24",0.000326418077088779
"25",0.000336139538504139
"26",0.000349112331846064
"27",0.000381598884989997
"28",0.000407644546023158
"29",0.000459887061664194
"30",0.000495921369416265
"31",0.000515617201373825
"32",0.000541923611609434
"33",0.00057157994453211
"34",0.00062115248764969
"35",0.000667585267760657
"36",0.000704180815534732
"37",0.000757589546114335
"38",0.000821289713641032
"39",0.000848200926313348
"40",0.000888667788955854
"41",0.000922482597218269
"42",0.000969965831609323
"43",0.00101420889333075
"44",0.00104492557280526
"45",0.00109284845840849
"46",0.0011409433463359
"47",0.0011754028322502
"48",0.00123765273778704
"49",0.00127583592168419
"50",0.00132808024060463
"51",0.00138403420768509
"52",0.00144726285363351
"53",0.00149664804888744
"54",0.00154621558663845
"55",0.00161021477497285
"56",0.00166736147129573
"57",0.00174633714536769
"58",0.0018040661734798
"59",0.00182940101381551
"60",0.00188021462692481
"61",0.00192392397812295
"62",0.00200076164459428
"63",0.00203750570518821
"64",0.0021112941159356
"65",0.00218920992781296
"66",0.00223020406092408
"67",0.00230881476696001
"68",0.00236147970815016
"69",0.00243328612219959
"70",0.00246363585951578
"71",0.00250166973491272
"72",0.00255892302236847
"73",0.00260490279743427
"74",0.00264719019109661
"75",0.00271667692019125
"76",0.00280209442293548
"77",0.00284891356263815
"78",0.002923378433487
"79",0.00297851429568853
"80",0.00301407953886655
"81",0.0030695912477759
"82",0.00314130167303954
"83",0.00318130630209339
"84",0.00322142997526154
"85",0.00327377070909955
"86",0.00336281222200642
"87",0.00344018726651522
"88",0.0034933872290382
"89",0.0035385683940681
"90",0.00359215999378812
"91",0.00366671855559542
"92",0.00370832040120505
"93",0.00378772161748771
"94",0.00383811268959636
"95",0.00386337921184043
"96",0.00391405533977566
"97",0.0039776708230717
"98",0.00403304878626112
"99",0.00409294256200562
"100",0.00413158740633478
"101",0.00420056618909568
"102",0.00426989998626335
"103",0.00433086018060675
"104",0.00440086894253504
"105",0.00444481058416777
"106",0.00447124453485978
"107",0.00452869624191471
"108",0.0045952934898215
"109",0.00463987573171068
"110",0.00470254070274611
"111",0.0047249921283317
"112",0.00477000843631962
"113",0.00481065262076897
"114",0.00486049572638872
"115",0.00490141515331223
"116",0.00495159934283554
"117",0.00499738513352305
"118",0.00503872520268245
"119",0.0050986651961616
"120",0.00514959615122009
"121",0.0052007243024461
"122",0.00525205027146628
"123",0.00529887988257308
"124",0.00532705524329043
"125",0.00536471388871103
"126",0.00541193605199978
"127",0.00546882454592021
"128",0.00551165076885515
"129",0.00555939646427525
"130",0.00558333295398634
"131",0.00560731216866828
"132",0.00562652657024265
"133",0.00568916370606398
"134",0.00571817212565347
"135",0.00577151980861593
"136",0.00582020483882306
"137",0.00584461436529288
"138",0.00587396485822347
"139",0.00590828817584495
"140",0.00595747288119634
"141",0.00597226321422791
"142",0.00600683814287343
"143",0.00604646323233507
"144",0.00611608982305123
"145",0.00615103879410805
"146",0.00619109262043715
"147",0.00623629575376125
"148",0.00626147407506763
"149",0.00630691307247214
"150",0.00632715724237233
"151",0.00637281767491343
"152",0.00640843835413431
"153",0.00645949174794885
