"","x"
"1",0.00012096624327329
"2",0.000242273891168743
"3",0.00036392434536009
"4",0.000485920124142963
"5",0.0006082375237197
"6",0.000730878211697379
"7",0.000853869204956487
"8",0.00097718433544916
"9",0.00110083268423997
"10",0.00134914781231645
"11",0.00172424817779596
"12",0.00184995842882297
"13",0.0021024576356413
"14",0.00235633226266361
"15",0.0024837904489439
"16",0.00261159878832225
"17",0.00286827736772365
"18",0.0029971527304563
"19",0.00312638445264054
"20",0.00325597672941197
"21",0.00338592971377754
"22",0.00364692647569091
"23",0.00390939680273235
"24",0.00404119480427989
"25",0.00417336530542326
"26",0.00430591858257793
"27",0.00443885119660047
"28",0.00457216257337784
"29",0.00470585753509138
"30",0.00483993572988993
"31",0.00510925273922637
"32",0.00524449607852254
"33",0.00538016575413488
"34",0.00551623330773678
"35",0.0056527005078061
"36",0.00606454899245493
"37",0.00634121768657944
"38",0.0064801972704287
"39",0.00675942590638795
"40",0.00689969806391809
"41",0.0070404014986468
"42",0.00732310437360125
"43",0.00746512735247486
"44",0.00760758467540787
"45",0.00775047968384968
"46",0.00789381580991562
"47",0.00818181430670472
"48",0.00832648213608603
"49",0.00847160269667598
"50",0.00861717570275555
"51",0.00876320395680708
"52",0.00905663645099387
"53",0.00920404730008826
"54",0.00950027670213512
"55",0.00979841395098126
"56",0.00994820296742692
"57",0.0100984770512872
"58",0.0102492777243472
"59",0.0104005668132572
"60",0.0105523483629909
"61",0.010704667437709
"62",0.0108574876217911
"63",0.0110108103545877
"64",0.0111646397468279
"65",0.0113189789201199
"66",0.0114738316277666
"67",0.0116292031182241
"68",0.0117850926770976
"69",0.0119415494049256
"70",0.0120985774180002
"71",0.0122561368956114
"72",0.012414275959499
"73",0.0125729564231331
"74",0.0127322240786623
"75",0.0130524063304604
"76",0.0132133259757964
"77",0.0133748050504247
"78",0.0135368445842366
"79",0.0138627440668001
"80",0.0141910437902875
"81",0.0145217637422667
"82",0.0148548527339308
"83",0.0150222957485442
"84",0.0151903419923258
"85",0.015358996556156
"86",0.0155283144492197
