"","x"
"1",1.73337297354752e-05
"2",3.46705149892215e-05
"3",5.2010413696135e-05
"4",6.93534449672585e-05
"5",0.000104048853133752
"6",0.000121401227558038
"7",0.000173476885315374
"8",0.000242954699275559
"9",0.000277712249486148
"10",0.000329871733747476
"11",0.00038205901799865
"12",0.000434273998288243
"13",0.000521360712852291
"14",0.00055621716510682
"15",0.000625967661056796
"16",0.000730687299934486
"17",0.000870489393534365
"18",0.000975472914688772
"19",0.00115069648889425
"20",0.00120332485584723
"21",0.0014317107951215
"22",0.00150209139977555
"23",0.00169589967314546
"24",0.00180177556064581
"25",0.00192544254357747
"26",0.00203156759182055
"27",0.00219097225444907
"28",0.00238615472102115
"29",0.00261732930333222
"30",0.00277769449352604
"31",0.00293832417473554
"32",0.00313500971235333
"33",0.0034397601236255
"34",0.00374546587271226
"35",0.00396183618890372
"36",0.0043054078159187
"37",0.0046138452656526
"38",0.00475933021568859
"39",0.00499620497406978
"40",0.00517880742847913
"41",0.00541670186373748
"42",0.00565517920302412
"43",0.00591265851083714
"44",0.00615235799864609
"45",0.00641115564562995
"46",0.00665208419551768
"47",0.00693081935730083
"48",0.00713573135020983
"49",0.00735976417284651
"50",0.00767803173773996
"51",0.00799734376177215
"52",0.00826109565465182
"53",0.0085255652526927
"54",0.00884767631262675
"55",0.0091518170568629
"56",0.00957156702631928
"57",0.00987797849980784
"58",0.00999313161525171
"59",0.0102623520794988
"60",0.0104937075797609
"61",0.0108805261576959
"62",0.011016275223862
"63",0.0114246584939803
"64",0.0117956297147749
"65",0.0119914460656653
"66",0.0124433219055519
"67",0.0127194064718929
"68",0.0130557041942081
"69",0.0132937912255942
"70",0.0135125499637635
"71",0.013771716661774
"72",0.0140115617544197
"73",0.0142519999269722
"74",0.0145936409029648
"75",0.015037547570777
"76",0.0153210858248649
"77",0.0156461396175132
"78",0.0159314549528335
"79",0.0161562207329351
"80",0.0164430389825817
"81",0.0167718661334937
"82",0.0170192135972417
"83",0.0172051358647224
"84",0.0174535866523342
"85",0.0179940764306671
"86",0.0184537605912586
"87",0.0186844181297148
"88",0.0189156231330821
"89",0.0191051984085525
"90",0.0193796823720725
"91",0.0196125445711332
"92",0.0199309823219743
"93",0.0201864839436059
"94",0.0203358363652836
"95",0.0205709961371077
"96",0.020914062371978
"97",0.0211721554422879
"98",0.0213661732330208
"99",0.0215389573170993
"100",0.021885446970219
"101",0.0222767249216238
"102",0.0225821399362269
"103",0.0228885137872569
"104",0.0230420616774582
"105",0.0231738667217737
"106",0.0234600576650185
"107",0.0238134487103627
"108",0.0240793345259724
"109",0.0243014616213328
"110",0.0244572531377077
"111",0.0247249074826419
"112",0.0249485159042956
"113",0.025195079271482
"114",0.0253972795489749
"115",0.0255999015530693
"116",0.0259159325316634
"117",0.0261649632011038
"118",0.0264600966009761
"119",0.0266421647448624
"120",0.0268930689295073
"121",0.0271904302601943
"122",0.0273968267369145
"123",0.0275116797719959
"124",0.027695725544377
"125",0.0279724474729163
"126",0.0282731210821849
"127",0.0285050417127987
"128",0.0287375156327516
"129",0.0288772523606305
"130",0.0290638539059981
"131",0.0291806614435386
"132",0.0294146962277442
"133",0.0295788555549674
"134",0.0299080090298466
"135",0.03016741525367
"136",0.0302619171458908
"137",0.0304275171989356
"138",0.030617119143969
"139",0.0308784237726132
"140",0.0309974303441097
